code;state_i94;state_weather
AL;ALABAMA;Alabama
AK;ALASKA;Alaska
AZ;ARIZONA;Arizona
AR;ARKANSAS;Arkansas
CA;CALIFORNIA;California
CO;COLORADO;Colorado
CT;CONNECTICUT;Connecticut
DE;DELAWARE;Delaware
DC;DIST. OF COLUMBIA;District Of Columbia
FL;FLORIDA;Florida
GA;GEORGIA;Georgia (State)
GU;GUAM;
HI;HAWAII;Hawaii
ID;IDAHO;Idaho
IL;ILLINOIS;Illinois
IN;INDIANA;Indiana
IA;IOWA;Iowa
KS;KANSAS;Kansas
KY;KENTUCKY;Kentucky
LA;LOUISIANA;Louisiana
ME;MAINE;Maine
MD;MARYLAND;Maryland
MA;MASSACHUSETTS;Massachusetts
MI;MICHIGAN;Michigan
MN;MINNESOTA;Minnesota
MS;MISSISSIPPI;Mississippi
MO;MISSOURI;Missouri
MT;MONTANA;Montana
NC;N. CAROLINA;North Carolina
ND;N. DAKOTA;North Dakota
NE;NEBRASKA;Nebraska
NV;NEVADA;Nevada
NH;NEW HAMPSHIRE;New Hampshire
NJ;NEW JERSEY;New Jersey
NM;NEW MEXICO;New Mexico
NY;NEW YORK;New York
OH;OHIO;Ohio
OK;OKLAHOMA;Oklahoma
OR;OREGON;Oregon
PA;PENNSYLVANIA;Pennsylvania
PR;PUERTO RICO;
RI;RHODE ISLAND;Rhode Island
SC;S. CAROLINA;South Carolina
SD;S. DAKOTA;South Dakota
TN;TENNESSEE;Tennessee
TX;TEXAS;Texas
UT;UTAH;Utah
VT;VERMONT;Vermont
VI;VIRGIN ISLANDS;
VA;VIRGINIA;Virginia
WV;W. VIRGINIA;West Virginia
WA;WASHINGTON;Washington
WI;WISCONSON;Wisconsin
WY;WYOMING ;Wyoming
